TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,condition,session,familiarization_type,id,average,time
1998.974,554,778,1,428,731,1,491,754,2.9517,1,2.45,1,familiarization,1,labeled,2,2.70085,0
2015.636,550,782,1,594,733,1,572,757,2.9752,1,3.0928,1,familiarization,1,labeled,2,3.034,16
2032.308,558,778,1,595,735,1,577,756,3.0158,1,3.0916,1,familiarization,1,labeled,2,3.0537,32
2048.966,546,769,1,585,736,1,566,752,2.9867,1,3.0811,1,familiarization,1,labeled,2,3.0339,48
2065.632,548,761,1,587,733,1,568,747,2.9585,1,3.0533,1,familiarization,1,labeled,2,3.0059,64
2082.302,543,771,1,595,732,1,569,751,2.956,1,3.0862,1,familiarization,1,labeled,2,3.0211,80
2098.967,552,769,1,596,739,1,574,754,2.9841,1,3.0929,1,familiarization,1,labeled,2,3.0385,96
2115.627,548,787,1,590,736,1,569,761,2.9412,1,3.1094,1,familiarization,1,labeled,2,3.0253,112
2132.304,557,775,1,577,730,1,567,752,2.9052,1,3.0554,1,familiarization,1,labeled,2,2.9803,128
2148.971,555,792,1,596,767,1,576,779,2.9638,1,3.1188,1,familiarization,1,labeled,2,3.0413,144
2165.632,555,775,1,583,734,1,569,754,2.9483,1,3.0889,1,familiarization,1,labeled,2,3.0186,160
2182.302,555,774,1,580,741,1,568,757,2.9175,1,3.0851,1,familiarization,1,labeled,2,3.0013,176
2198.957,544,779,1,601,768,1,573,773,2.9178,1,3.1159,1,familiarization,1,labeled,2,3.01685,192
2215.632,563,784,1,586,743,1,575,763,2.9117,1,3.0372,1,familiarization,1,labeled,2,2.97445,208
2232.299,557,777,1,578,749,1,568,763,2.9156,1,3.0311,1,familiarization,1,labeled,2,2.97335,224
2248.966,556,775,1,580,740,1,568,757,2.8902,1,3.0107,1,familiarization,1,labeled,2,2.95045,240
2265.633,558,784,1,582,745,1,570,764,2.8516,1,3.0042,1,familiarization,1,labeled,2,2.9279,256
